model,interval,lang_count
microsoft/phi-4,"(2.00, 2.25]",40
microsoft/phi-4,"(2.25, 2.50]",24
microsoft/phi-4,"(2.50, 2.75]",6
microsoft/phi-4,"(2.75, 3.00]",11
microsoft/phi-4,"(3.00, inf)",64
microsoft/phi-4,"[1.00, 1.25]",1
mistralai/Ministral-3-8B-Instruct-2512,"(1.25, 1.50]",30
mistralai/Ministral-3-8B-Instruct-2512,"(1.50, 1.75]",34
mistralai/Ministral-3-8B-Instruct-2512,"(1.75, 2.00]",47
mistralai/Ministral-3-8B-Instruct-2512,"(2.00, 2.25]",39
mistralai/Ministral-3-8B-Instruct-2512,"(2.25, 2.50]",19
mistralai/Ministral-3-8B-Instruct-2512,"(2.50, 2.75]",9
mistralai/Ministral-3-8B-Instruct-2512,"(2.75, 3.00]",3
mistralai/Ministral-3-8B-Instruct-2512,"(3.00, inf)",20
mistralai/Ministral-3-8B-Instruct-2512,"[1.00, 1.25]",2
moonshotai/Kimi-K3,"(1.25, 1.50]",1
moonshotai/Kimi-K3,"(1.50, 1.75]",1
moonshotai/Kimi-K3,"(1.75, 2.00]",26
moonshotai/Kimi-K3,"(2.00, 2.25]",34
moonshotai/Kimi-K3,"(2.25, 2.50]",57
moonshotai/Kimi-K3,"(2.50, 2.75]",24
moonshotai/Kimi-K3,"(2.75, 3.00]",6
moonshotai/Kimi-K3,"(3.00, inf)",52
moonshotai/Kimi-K3,"[1.00, 1.25]",2
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"(1.25, 1.50]",30
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"(1.50, 1.75]",34
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"(1.75, 2.00]",47
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"(2.00, 2.25]",39
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"(2.25, 2.50]",19
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"(2.50, 2.75]",9
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"(2.75, 3.00]",3
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"(3.00, inf)",20
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,"[1.00, 1.25]",2
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"(1.25, 1.50]",30
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"(1.50, 1.75]",34
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"(1.75, 2.00]",47
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"(2.00, 2.25]",39
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"(2.25, 2.50]",19
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"(2.50, 2.75]",9
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"(2.75, 3.00]",3
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"(3.00, inf)",20
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,"[1.00, 1.25]",2
openai/gpt-oss-20b,"(1.25, 1.50]",38
openai/gpt-oss-20b,"(1.50, 1.75]",55
openai/gpt-oss-20b,"(1.75, 2.00]",61
openai/gpt-oss-20b,"(2.00, 2.25]",18
openai/gpt-oss-20b,"(2.25, 2.50]",1
openai/gpt-oss-20b,"(2.50, 2.75]",9
openai/gpt-oss-20b,"(2.75, 3.00]",2
openai/gpt-oss-20b,"(3.00, inf)",15
openai/gpt-oss-20b,"[1.00, 1.25]",4
tiiuae/Falcon3-7B-Instruct,"(1.25, 1.50]",4
tiiuae/Falcon3-7B-Instruct,"(1.50, 1.75]",17
tiiuae/Falcon3-7B-Instruct,"(1.75, 2.00]",40
tiiuae/Falcon3-7B-Instruct,"(2.00, 2.25]",42
tiiuae/Falcon3-7B-Instruct,"(2.25, 2.50]",17
tiiuae/Falcon3-7B-Instruct,"(2.50, 2.75]",2
tiiuae/Falcon3-7B-Instruct,"(2.75, 3.00]",2
tiiuae/Falcon3-7B-Instruct,"(3.00, inf)",78
tiiuae/Falcon3-7B-Instruct,"[1.00, 1.25]",1
zai-org/GLM-5.3,"(1.25, 1.50]",7
zai-org/GLM-5.3,"(1.50, 1.75]",20
zai-org/GLM-5.3,"(1.75, 2.00]",47
zai-org/GLM-5.3,"(2.00, 2.25]",47
zai-org/GLM-5.3,"(2.25, 2.50]",19
zai-org/GLM-5.3,"(2.50, 2.75]",9
zai-org/GLM-5.3,"(2.75, 3.00]",6
zai-org/GLM-5.3,"(3.00, inf)",46
zai-org/GLM-5.3,"[1.00, 1.25]",2
